
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      5,920 K
smss.exe                       324 Services                   0      1,392 K
csrss.exe                      432 Services                   0      5,276 K
wininit.exe                    516 Services                   0      4,976 K
csrss.exe                      536 Console                    1     12,936 K
services.exe                   588 Services                   0     10,640 K
lsass.exe                      596 Services                   0     12,752 K
lsm.exe                        608 Services                   0      5,004 K
svchost.exe                    708 Services                   0     11,544 K
nvvsvc.exe                     772 Services                   0      7,996 K
nvSCPAPISvr.exe                796 Services                   0      5,988 K
winlogon.exe                   820 Console                    1      8,424 K
svchost.exe                    884 Services                   0      9,172 K
MsMpEng.exe                    952 Services                   0     54,516 K
svchost.exe                    144 Services                   0     21,488 K
svchost.exe                    368 Services                   0    163,448 K
svchost.exe                    360 Services                   0     51,816 K
svchost.exe                   1096 Services                   0     12,328 K
nvxdsync.exe                  1208 Console                    1     20,216 K
nvvsvc.exe                    1220 Console                    1     14,212 K
svchost.exe                   1280 Services                   0     17,876 K
spoolsv.exe                   1476 Services                   0     15,576 K
svchost.exe                   1504 Services                   0     16,308 K
m_agent_service.exe           1648 Services                   0      8,540 K
pg_ctl.exe                    1732 Services                   0      7,052 K
postgres.exe                  1828 Services                   0      8,912 K
conhost.exe                   1836 Services                   0      3,608 K
svchost.exe                   1164 Services                   0      6,220 K
TeamViewer_Service.exe        1660 Services                   0     14,148 K
postgres.exe                  1804 Services                   0      6,288 K
postgres.exe                  1860 Services                   0      6,796 K
postgres.exe                  2016 Services                   0      6,712 K
postgres.exe                  1636 Services                   0      8,224 K
postgres.exe                  1332 Services                   0      6,464 K
CodeMeter.exe                 2136 Services                   0      8,888 K
WmiPrvSE.exe                  2296 Services                   0     14,836 K
svchost.exe                   2796 Services                   0      5,180 K
svchost.exe                   3040 Services                   0      6,272 K
taskhost.exe                  2404 Console                    1     10,736 K
dwm.exe                       1760 Console                    1     31,936 K
explorer.exe                  2760 Console                    1     65,184 K
TeamViewer.exe                2704 Console                    1     19,748 K
GoogleCrashHandler.exe        2500 Services                   0        908 K
GoogleCrashHandler64.exe      2388 Services                   0        528 K
msseces.exe                   2408 Console                    1     17,960 K
tv_w32.exe                    3096 Console                    1      4,444 K
tv_x64.exe                    3108 Console                    1      5,400 K
jusched.exe                   3152 Console                    1      4,596 K
acrotray.exe                  3252 Console                    1      5,700 K
CodeMeterCC.exe               3276 Console                    1     13,316 K
nvtray.exe                    3408 Console                    1     14,748 K
SearchIndexer.exe             3624 Services                   0     15,632 K
wmpnetwk.exe                  3756 Services                   0     12,444 K
chrome.exe                    3892 Console                    1    130,336 K
svchost.exe                   3920 Services                   0     17,668 K
chrome.exe                    3144 Console                    1     21,780 K
chrome.exe                    3292 Console                    1     24,128 K
chrome.exe                     524 Console                    1     24,304 K
chrome.exe                     528 Console                    1     45,800 K
chrome.exe                    1136 Console                    1     21,912 K
chrome.exe                    1012 Console                    1     27,828 K
chrome.exe                    3540 Console                    1     43,848 K
chrome.exe                    2520 Console                    1    114,256 K
chrome.exe                    4180 Console                    1     80,384 K
chrome.exe                    4220 Console                    1     37,212 K
chrome.exe                    4268 Console                    1     75,232 K
chrome.exe                    4316 Console                    1     78,428 K
chrome.exe                    4492 Console                    1     99,856 K
chrome.exe                    4616 Console                    1     39,120 K
chrome.exe                    4648 Console                    1     33,576 K
chrome.exe                    4684 Console                    1     43,780 K
chrome.exe                    4720 Console                    1     41,132 K
chrome.exe                    4808 Console                    1     29,388 K
chrome.exe                    4884 Console                    1      9,192 K
daemonu.exe                    660 Services                   0     11,300 K
Skype.exe                     3304 Console                    1    117,524 K
chrome.exe                    2860 Console                    1     72,640 K
chrome.exe                    4428 Console                    1     43,976 K
chrome.exe                    3364 Console                    1     33,972 K
chrome.exe                    4432 Console                    1     54,600 K
cmd.exe                       4040 Console                    1      3,732 K
conhost.exe                   3460 Console                    1      7,764 K
chrome.exe                    1048 Console                    1     31,976 K
chrome.exe                     704 Console                    1     40,584 K
chrome.exe                    4516 Console                    1     44,620 K
chrome.exe                    2268 Console                    1     77,032 K
notepad++.exe                 3328 Console                    1     26,080 K
taskeng.exe                   3380 Services                   0      5,800 K
chrome.exe                    1452 Console                    1     61,940 K
tasklist.exe                  1108 Console                    1      6,308 K
